Categoria em Inglês,Categoria em Português
Construction and Engineering,Construção e Engenharia
"Banks, Diverse Financials, Insurance","Bancos, Financeiras Diversificadas, Seguros"
Technology Hardware and Equipment,Hardware e Equipamentos de Tecnologia
"Consumer Durables, Household and Personal Products","Produtos Duráveis de Consumo, Domésticos e Pessoais"
"Textiles, Apparel, Footwear and Luxury Goods","Têxteis, Roupas, Calçados e Bens de Luxo"
Real Estate,Imóveis
Electrical Equipment and Machinery,Equipamentos e Máquinas Elétricas
Food and Beverage Processing,Processamento de Alimentos e Bebidas
Automobiles and Components,Automóveis e Componentes
"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",Utilitários Elétricos e Produtores Independentes de Energia
"Trading Companies and Distributors, and Commercial Services and Supplies","Companhias Comerciais e Distribuidoras, e Serviços Comerciais"
Software and Services,Software e Serviços
Healthcare Equipment and Supplies,Equipamentos e Suprimentos de Saúde
"Pharmaceuticals, Biotechnology and Life Sciences","Produtos Farmacêuticos, Biotecnologia e Ciências da Vida"
Retailing,Varejo
"Mining - Iron, Aluminum, Other Metals","Mineração - Ferro, Alumínio, Outros Metais"
Chemicals,Produtos Químicos
Construction Materials,Materiais de Construção
"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Produtos Florestais e de Papel
"Healthcare Providers and Services, and Healthcare Technology","Fornecedores e Serviços de Saúde, e Tecnologia de Saúde"
Food and Staples Retailing,Varejo de Alimentos e Produtos Básicos
Building Products,Produtos de Construção
Telecommunication Services,Serviços de Telecomunicações
Professional Services,Serviços Profissionais
Ground Transportation - Highways and Railtracks,Transporte Terrestre - Rodovias e Trilhos
"Hotels, Restaurants and Leisure, and Tourism Services","Hotéis, Restaurantes e Lazer, e Serviços de Turismo"
Media,Mídia
Ground Transportation - Trucking Transportation,Transporte Terrestre - Transporte Rodoviário
Tobacco,Tabaco
Air Freight Transportation and Logistics,Transporte Aéreo e Logística
Semiconductors and Semiconductors Equipment,Semicondutores e Equipamentos de Semicondutores
Homebuilding,Construção de Casas
Aerospace and Defense,Aeroespacial e Defesa
Solid Waste Management Utilities,Gestão de Resíduos Sólidos
Ground Transportation - Railroads Transportation,Transporte Terrestre - Transporte Ferroviário
