Data,PIB - preços de mercado - deflator implícito - var anual - (% a.a.) - Instituto Brasileiro de Geografia e Estatística- Sistema de Contas Nacionais (IBGE/SCN Anual) - SCN10_DIPIBG10,
1900,-13.2911392405063,
1901,-17.7615571776154,
1902,-7.69230769230782,
1903,1.92307692307752,
1904,5.97484276729501,
1905,-10.3857566765576,
1906,21.8543046357612,
1907,-5.16304347826097,
1908,2.29226361031569,
1909,-1.75,
1910,4.32569974554673,
1911,2.19512195121971,
1912,7.39856801909311,
1913,-11.1111111111112,
1914,-13.2499999999998,
1915,13.2564841498558,
1916,20.8651399491095,
1917,8.84210526315798,
1918,8.31721470019342,
1919,8.7499999999999,
1920,19.0476190476189,
1921,-15.3103448275863,
1922,9.12052117263853,
1923,30.1492537313432,
1924,11.0091743119269,
1925,18.3884297520661,
1926,-18.062827225131,
1927,-2.23642172523966,
1928,11.5468409586059,
1929,-3.61328125,
1930,-12.3606889564338,
1931,-10.8670520231212,
1932,1.55642023346299,
1933,-2.04342273307793,
1934,6.25814863103036,
1935,4.78527607361965,
1936,1.63934426229464,
1937,9.44700460829517,
1938,3.15789473684178,
1939,2.04081632653095,
1940,6.69999999999964,
1941,10.2155576382383,
1942,16.2414965986395,
1943,16.6057059253843,
1944,20.6398996235879,
1945,14.9245969838802,
1946,14.5701357466055,
1947,8.93896976483821,
1948,5.91656899769937,
1949,8.29574991784925,
1950,8.96104961811377,
1951,18.1197689756124,
1952,9.60224697965919,
1953,13.9751988104668,
1954,27.1980609497026,
1955,11.5621494426137,
1956,22.7326400233418,
1957,12.7128854471602,
1958,12.3642596387579,
1959,35.8564827016674,
1960,25.4156219962277,
1961,34.6178038295016,
1962,50.2494574067527,
1963,78.4174318571542,
1964,89.5336660280526,
1965,58.9331849688711,
1966,37.9360977728776,
1967,26.5289416899405,
1968,26.7067165110301,
1969,20.0517840277921,
1970,16.2551116057272,
1971,19.3845850833882,
1972,19.8670917293059,
1973,29.5803566927343,
1974,34.6058550079475,
1975,33.9294367381244,
1976,41.2036240109064,
1977,45.3980562303093,
1978,38.2276112245914,
1979,54.3659600224763,
1980,92.141944615712,
1981,100.528877121071,
1982,101.034394746448,
1983,131.484045056687,
1984,201.740282133712,
1985,248.54365912581,
1986,149.179318289681,
1987,206.208708657148,
1988,627.95147020427,
1989,1304.42420943485,
1990,2736.97067768832,
1991,416.678087699068,
1992,969.012921772513,
1993,1996.15035029504,
1994,2240.16886920159,
1995,93.9780430441323,
1996,18.4562437768988,
1997,7.7290234100478,
1998,4.92436158675287,
1999,8.01050087686863,
2000,5.60606515271741,
2001,8.22509431643357,
2002,9.79811223431275,
2003,14.0910215272673,
2004,7.75206075946303,
2005,7.4312247547853,
2006,6.77427411909707,
2007,6.43903808921129,
2008,8.77855272217616,
2009,7.31348274594561,
2010,8.42333833598185,
2011,8.3185922188201,
2012,7.94312694206427,
2013,7.50456453204851,
2014,7.84670974349481,
2015,7.56617501293944,
2016,8.10360435702499,
2017,3.67138451288935,
2018,4.49353433164123,
2019,4.22425886990689,
2020,6.47249960717822,
2021,13.0472708771638,
2022,8.57028258426462,
2023,5.15950091916895,
2024,3.79801092933665,
