codigo_pais,ano,percentual_pib
ARG,1960,0.2507554794251293
BOL,1960,0.012067368874950383
BRA,1960,0.33440610147316074
CHL,1960,0.07060450488884078
COL,1960,0.08715275202363051
ECU,1960,0.02211880709471252
PER,1960,0.06451973671805943
PRY,1960,0.006149211252652864
URY,1960,0.026553011623544117
VEN,1960,0.12567302662531926
ARG,1970,0.22821799758541456
BOL,1970,0.012337333128360498
BRA,1970,0.36290745897189275
CHL,1970,0.0628242327377641
COL,1970,0.0864855981929936
ECU,1970,0.022040126907701702
PER,1970,0.06631671107779626
PRY,1970,0.005725484543424978
URY,1970,0.018553817426432074
VEN,1970,0.13459123942821932
ARG,2018,0.1395940828221171
BOL,2018,0.012742067121154638
BRA,2018,0.4991148358014771
CHL,2018,0.0694851579880032
COL,2018,0.10972316830288786
ECU,2018,0.029543038893842008
PER,2018,0.06502192316762356
PRY,2018,0.011157933569352513
URY,2018,0.011539641278428943
VEN,2018,0.05207815105511315
ARG,2023,0.14927831454887763
BOL,2023,0.015105827117492442
BRA,2023,0.4939028932323668
CHL,2023,0.07196203543535824
COL,2023,0.12237522762436544
ECU,2023,0.029214278252252035
PER,2023,0.0660543405045833
PRY,2023,0.01413322907265819
URY,2023,0.012451079449865666
VEN,2023,0.02552277476218017
GUY,1960,
GUY,2023,
SUR,1960,
SUR,2023,

