"setores_e_subsetores";"ano";"valor";"variacao";"valor_referencia";"valor_constante"
"PIB a preços de
mercado";1996;854763;2,2;2429635,06190038;2429,63506190038
"PIB a preços de
mercado";1997;952089;3,4;2515150,16759873;2515,15016759873
"PIB a preços de
mercado";1998;1002351;0,3;2522718,32256643;2522,71832256643
"PIB a preços de
mercado";1999;1087711;0,5;2535395,29906174;2535,39529906174
"PIB a preços de
mercado";2000;1199093;4,4;2652087,13290977;2652,08713290977
"PIB a preços de
mercado";2001;1315756;1,4;2689743,54250484;2689,74354250484
"PIB a preços de
mercado";2002;1488788;3,1;2775793,12951996;2775,79312951996
"PIB a preços de
mercado";2003;1717951;1,1;2806666,46058641;2806,66646058641
"PIB a preços de
mercado";2004;1957750;5,8;2979476,07280935;2979,47607280935
"PIB a preços de
mercado";2005;2170584;3,2;3077971,14959644;3077,97114959644
"PIB a preços de
mercado";2006;2409450;4;3206219,94749629;3206,21994749629
"PIB a preços de
mercado";2007;2720263;6,1;3414504,73641777;3414,50473641777
"PIB a preços de
mercado";2008;3109803;5,1;3598002,883475;3598,002883475
"PIB a preços de
mercado";2009;3333039;-0,1;3594408,475;3594,408475
"PIB a preços de
mercado";2010;3885847;7,5;3885847;3885,847
"PIB a preços de
mercado";2011;4376382;4;4041280,88;4041,28088
"PIB a preços de
mercado";2012;4814760;1,9;4118065,21672;4118,06521672
"PIB a preços de
mercado";2013;5331619;3;4241607,1732216;4241,6071732216
"PIB a preços de
mercado";2014;5778953;0,5;4262815,20908771;4262,81520908771
"PIB a preços de
mercado";2015;5995787;-3,5;4113616,67676964;4113,61667676964
"PIB a preços de
mercado";2016;6269327;-3,3;3977867,32643624;3977,86732643624
"PIB a preços de
mercado";2017;6585479;1,3;4029579,60167991;4029,57960167991
"PIB a preços de
mercado";2018;7004141;1,8;4102112,03451015;4102,11203451015
"PIB a preços de
mercado";2019;7389131;1,2;4151337,37892427;4151,33737892427
"PIB a preços de
mercado";2020;7609597;-3,3;4014343,24541977;4014,34324541977
"PIB a preços de
mercado";2021;9012142;4,8;4207031,72119992;4207,03172119992
"PIB a preços de
mercado";2022;10079676;3;4333242,67283592;4333,24267283592
"PIB a preços de
mercado";2023;10943344;3,2;4471906,43836667;4471,90643836667
"PIB a preços de
mercado";2024;11744709;3,4;4623951,25727113;4623,95125727113
